Name in df1,Name in df2,Similarity score (0-100)
GABBIONETA BINANUOVA,GABBIONETABINANUOVA,97.43589743589743
CALATAFIMI SEGESTA,CALATAFIMISEGESTA,97.14285714285714
CHIOPRIS VISCONE,CHIOPRISVISCONE,96.7741935483871
VIGNOLA FALESINA,VIGNOLAFALESINA,96.7741935483871
RONZO CHIENIS,RONZOCHIENIS,96.0
GADESCO PIEVE DELMONA,GADESCOPIEVEDELMONA,95.0
LONA LASES,LONALASES,94.73684210526316
ANDRIANO,LANDRIANO,94.11764705882352
CASTELLO MOLINA DI FIEMME,CASTELLOMOLINADIFIEMME,93.61702127659575
BARBIANO,BARIANO,93.33333333333333
BRONZOLO,BROZOLO,93.33333333333333
BOLZANO,BOLANO,92.3076923076923
CARCERI,CARERI,92.3076923076923
SGONICO,SONICO,92.3076923076923
TERENTO,TRENTO,92.3076923076923
SORAGA,SORAGNA,92.3076923076923
TIROLO,TIRIOLO,92.3076923076923
CASTELBELLO,CASTELBELLINO,91.66666666666666
DUINO,DUBINO,90.9090909090909
MONTESCUDO,MONTESCUDAIO,90.9090909090909
CERMES,CERES,90.9090909090909
POSTAL,POSTA,90.9090909090909
SANTORSOLA TERMA,SANTORSOLATERME,90.32258064516128
TERZO DI AQUILEIA,TERZODAQUILEIA,90.32258064516128
BRESSANONE,NE,90.0
CASTELLO CONDINO,ELLO,90.0
BRISSAGO,BRISSAGOVALTRAVAGLIA,90.0
CADERZONE,NE,90.0
BROVELLO,ELLO,90.0
CALDARO,CALDAROSULLASTRADADELVINOKALTERNANDERWEINSTRAE,90.0
CALASCA,ALA,90.0
CAINES,NE,90.0
CAMPO TRENS,RE,90.0
CORNEDO,NE,90.0
CAMPO TURES,RE,90.0
CADEGLIANO,CADEGLIANOVICONAGO,90.0
BRUNICO,BRUNICOBRUNECK,90.0
CORTACCIA,CORTACCIASULLASTRADADELVINOKURTATSCHANDERWEINSTRAE,90.0
CASALE CREMASCO,SALE,90.0
CHALLAND,CHALLANDSAINTANSELME,90.0
BRIGNANO,BRIGNANOFRASCATA,90.0
BOVISIO,BOVISIOMASCIAGO,90.0
BRAIES,BRA,90.0
ANTERIVO,ANTERIVOALTREI,90.0
ANTEY,ANTEYSAINTANDRE,90.0
BRENNERO,NE,90.0
BEURA,BEURACARDEZZA,90.0
ALDINO,ALDINOALDEIN,90.0
APPIANO,APPIANOGENTILE,90.0
MONTECATINI,MONTECATINIVALDICECINA,90.0
BELLARIA,ARI,90.0
BADIA,BADIAPAVESE,90.0
AVELENGO,AVELENGOHAFLING,90.0
AMBLAR,AMBLARDON,90.0
PIEVE DI BONO,BONO,90.0
VARNA,VARNAVAHRN,90.0
DOBBIACO,DOBBIACOTOBLACH,90.0
CUGLIATE,CUGLIATEFABIASCO,90.0
CURON,FABBRICACURONE,90.0
CORVARA IN BADIA,CORVARA,90.0
DOBERDO DEL LAGO,LAGO,90.0
CHIENES,NE,90.0
COMEZZANO,COMEZZANOCIZZAGO,90.0
COCQUIO,COCQUIOTREVISAGO,90.0
CHIUSA,CHIUSADISANMICHELE,90.0
CASTELROTTO,CASTELROTTOKASTELRUTH,90.0
FUNES,NE,90.0
FORTEZZA,FORTEZZAFRANZENSFESTE,90.0
FONDACHELLI,FONDACHELLIFANTINA,90.0
MAREBBE,MAREBBEENNEBERG,90.0
LAION,LAIONLAJEN,90.0
LANA,CASTIONEDELLAPRESOLANA,90.0
LAIVES,LAIVESLEIFERS,90.0
LASA,VILLASANSECONDO,90.0
LAUREGNO,LAUREGNOLAUREIN,90.0
LAVENO,LAVENOMOMBELLO,90.0
EGNA,OZEGNA,90.0
GORNATE,GORNATEOLONA,90.0
GARGAZZONE,NE,90.0
GIARDINI,GIARDININAXOS,90.0
GLORENZA,GLORENZAGLURNS,90.0
LACES,LACESLATSCH,90.0
GRESSONEY,GRESSONEYLATRINITE,90.0
LAGUNDO,LAGUNDOALGUND,90.0
FALZES,FALZESPFALZEN,90.0
PRE,RIVAPRESSOCHIERI,90.0
PROVES,PROVESPROVEIS,90.0
MONRUPINO,MONRUPINOREPENTABOR,90.0
MONGUELFO,MONGUELFOTESIDOWELSBERGTAISTEN,90.0
MURISENGO MONFERRATO,MURISENGO,90.0
NAGO,COMIGNAGO,90.0
NALLES,NALLESNALS,90.0
MONTAGNA,MONTA,90.0
ORTISEI,ORTISEISTULRICH,90.0
NAZ,SANNAZZAROSESIA,90.0
NONE,CASTELLODIANNONE,90.0
NOVA PONENTE,NE,90.0
PLAUS,PLAUSPLAUS,90.0
ORA,FIORANOCANAVESE,90.0
PARCINES,NE,90.0
NATURNO,NATURNONATURNS,90.0
RENON,RENONRITTEN,90.0
RHEMES,RHEMESNOTREDAME,90.0
PONTE GARDENA,PONTE,90.0
PERCA,PERCAPERCHA,90.0
PONT,PONTCANAVESE,90.0
PRATO ALLO STELVIO,PRATO,90.0
PREDOI,PREDOIPRETTAU,90.0
LUSON,LUSONLUSEN,90.0
MARTELLO,MARTELLOMARTELL,90.0
MAGRE,MAGREGLIO,90.0
MALBORGHETTO,MALBORGHETTOVALBRUNA,90.0
MALLES,MALLESVENOSTAMALS,90.0
MELTINA,MELTINAMOLTEN,90.0
MARLENGO,MARLENGOMARLING,90.0
MERANO,CAMERANOCASASCO,90.0
GAIS,GAISGAIS,90.0
PRESICCE,PRESICCEACQUARICA,90.0
MORANSENGO,MORANSENGOTONENGO,90.0
GATTICO,GATTICOVERUNO,90.0
VIGHIZZOLO DESTE,ESTE,90.0
RASUN,RASUNANTERSELVARASENANTHOLZ,90.0
RACINES,NE,90.0
RIO PUSTERIA,RIO,90.0
RIFIANO,RIFIANORIFFIAN,90.0
PREMOSELLO,ELLO,90.0
SAVOGNA DISONZO,ONZO,90.0
SELVA GARDENS,ELVA,90.0
SENALE,SENALESSCHNALS,90.0
SARENTINO,SARENTINOSARNTAL,90.0
RODENGO,RODENGOSAIANO,90.0
SAINT,ANTEYSAINTANDRE,90.0
RUFFRE,RUFFREMENDOLA,90.0
SILANDRO,SILANDROSCHLANDERS,90.0
SESTO,SESTOCALENDE,90.0
SENALES,SENALESSCHNALS,90.0
SLUDERNO,SLUDERNOSCHLUDERNS,90.0
STELVIO,PRATOALLOSTELVIOPRADAMSTILFSERJOCH,90.0
TERLANO,TERLANOTERLAN,90.0
